experiment,target,model,feature_set,seed,feature,feature_clean,feature_group,importance,signed_value
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__CPIAUCSL,CPIAUCSL,macro,2.2374975786502795,2.2374975786502795
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,cat__Sector_Consumer Defensive,Sector_Consumer Defensive,sector,1.6524347826827526,-1.6524347826827526
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__BUSLOANS,BUSLOANS,macro,1.6001850640017397,-1.6001850640017397
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,cat__Sector_Consumer Discretionary,Sector_Consumer Discretionary,sector,1.5825140644929363,-1.5825140644929363
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,cat__Sector_Energy,Sector_Energy,sector,1.4847192358812826,1.4847192358812826
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__net_income_negative_count_prior_4obs,net_income_negative_count_prior_4obs,firm_trend,1.4786533205435681,1.4786533205435681
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__leverage_assets_lag1,leverage_assets_lag1,firm_trend,1.4025760752523297,-1.4025760752523297
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__roa_lag1,roa_lag1,firm_trend,1.3687911998688997,-1.3687911998688997
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,cat__Sector_Financial Services,Sector_Financial Services,sector,1.2835659318364152,-1.2835659318364152
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__missingindicator_current_liabilities_growth_4obs,current_liabilities_growth_4obs,firm_trend,1.0887567667271205,-1.0887567667271205
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__GDPC1,GDPC1,macro,1.0706508802550498,-1.0706508802550498
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__missingindicator_total_assets_growth_4obs,total_assets_growth_4obs,firm_trend,0.9988791786541608,0.9988791786541608
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__M2SL,M2SL,macro,0.8905044829866692,0.8905044829866692
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__r_and_d_intensity,r_and_d_intensity,financial_ratio,0.8763294552196054,0.8763294552196054
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__INDPRO,INDPRO,macro,0.8260415633309224,0.8260415633309224
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__total_equity,total_equity,accounting_fundamental,0.801986289561268,-0.801986289561268
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__BUSLOANS_yoy_pct,BUSLOANS_yoy_pct,macro,0.7612742371241172,-0.7612742371241172
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__net_margin_lag1,net_margin_lag1,firm_trend,0.7379960491479656,-0.7379960491479656
